,CNTY_NM,X (Lat),Y (Long),CNTY_NBR,FIPS,time,temp,coco,WIND_recu_mw,NG_recu_mw,COAL_recu_mw,SOLAR_recu_mw,ESR_recu_mw,HYDRO_recu_mw,NUCLEAR_recu_mw
160,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 16:00:00,0.7,,733,0,0,0,0,0,0
161,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 17:00:00,3.1,,641,0,0,0,0,0,0
162,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 18:00:00,5.7,,641,0,0,0,0,0,0
163,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 19:00:00,7.4,,729,0,0,0,0,0,0
164,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 20:00:00,8.3,,635,0,0,0,0,0,0
165,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 21:00:00,8.5,,635,0,0,0,0,0,0
166,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 22:00:00,9.1,,635,0,0,0,0,0,0
167,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-16 23:00:00,9.9,,635,0,0,0,0,0,0
168,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 00:00:00,8.8,,635,0,0,0,0,0,0
169,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 01:00:00,7.4,,589,0,0,0,0,0,0
170,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 02:00:00,6.6,,589,0,0,0,0,0,0
171,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 03:00:00,6.5,,589,0,0,0,0,0,0
172,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 04:00:00,6.2,,589,0,0,0,0,0,0
173,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 05:00:00,5.5,,760,0,0,0,0,0,0
174,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 06:00:00,4.9,,790,0,0,0,0,0,0
175,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 07:00:00,4.6,,790,0,0,0,0,0,0
176,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 08:00:00,2.0,,790,0,0,0,0,0,0
177,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 09:00:00,1.7,,764,0,0,0,0,0,0
178,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 10:00:00,1.3,,643,0,0,0,0,0,0
179,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 11:00:00,1.2,,472,0,0,0,0,0,0
180,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 12:00:00,1.1,,472,0,0,0,0,0,0
181,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 13:00:00,1.3,,554,0,0,0,0,0,0
182,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 14:00:00,1.8,,554,0,0,0,0,0,0
183,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 15:00:00,3.3,,528,0,0,0,0,0,0
184,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 16:00:00,4.9,,528,0,0,0,0,0,0
185,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 17:00:00,7.4,,528,0,0,0,0,0,0
186,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 18:00:00,10.1,,468,0,0,0,0,0,0
187,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 19:00:00,11.8,,494,0,0,0,0,0,0
188,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 20:00:00,12.9,,494,0,0,0,0,0,0
189,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 21:00:00,13.1,,494,0,0,0,0,0,0
190,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 22:00:00,12.5,,494,0,0,0,0,0,0
191,KENEDY,-97.68137783,26.92409448,66,48261,2021-02-17 23:00:00,11.3,,494,0,0,0,0,0,0
